subtopic_name,question_text,explanation,answer_1,is_correct_1,answer_2,is_correct_2,answer_3,is_correct_3,answer_4,is_correct_4,answer_5,is_correct_5
History and Examination,"A 23‑year‑old with mucosal ulceration and tongue paraesthesia reports frequent “balloons.” Likely mechanism?","Repeated nitrous oxide misuse inactivates vitamin B12, impairing mucosal turnover and causing neuropathic signs.",Direct caustic burn,FALSE,Functional vitamin B12 deficiency from nitrous oxide,TRUE,Sugar exposure from gas,FALSE,Trigeminal nerve transection,FALSE,Chemotherapy‑level immunosuppression,FALSE
History and Examination,"A 58‑year‑old says she is “allergic to clopidogrel—it made me bruise easily.” Needs extraction while on apixaban. Classification of clopidogrel history?","Easy bruising is an expected antiplatelet pharmacodynamic effect, not an immune-mediated allergy.",IgE‑mediated allergy,FALSE,Predictable pharmacologic effect,TRUE,Life‑threatening anaphylaxis history,FALSE,Type IV hypersensitivity,FALSE,Pseudoallergy needing desensitisation,FALSE
History and Examination,"A healthy 27‑year‑old presents for routine check‑up with no symptoms. Which is the most appropriate extent of systemic examination in a primary dental care setting?","Asymptomatic routine dental visit warrants proportionate assessment: general observation plus thorough EO/IO dental exam, not extended systemic or specialised tests.",Full cardiac and abdominal auscultation plus organ palpation,FALSE,Visual general inspection and focused extra-/intra-oral exam only,TRUE,Full neurological examination including tendon reflexes,FALSE,Comprehensive lymph node palpation, liver and spleen palpation,FALSE,Spirometry and pulse oximetry baseline testing,FALSE
History and Examination,"During a pre-sedation assessment of a slim 55‑year‑old woman you gently palpate the abdomen and feel a firm structure 4 cm below the left costal margin on inspiration; she is asymptomatic. Interpretation?","A palpable spleen tip in an adult is abnormal and suggests splenomegaly; further medical evaluation is indicated.",Normal spleen; usually palpable on inspiration,FALSE,Pathological splenomegaly—spleen not normally palpable,TRUE,Palpated left kidney; kidneys always easily palpable,FALSE,Normal liver edge; liver lies under left costal margin,FALSE,Benign colon segment; no action required,FALSE
History and Examination,"A 63‑year‑old man awaiting prolonged surgical extraction: pulse 84 regular, BP 138/82, respirations 24/min, SpO₂ 98% air, feels well. Best immediate action?","Mild isolated tachypnoea in an otherwise stable, anxious patient merits rest and repeat observation, not urgent intervention.",Proceed—24/min is normal,FALSE,Delay treatment and call emergency services,FALSE,Reassess after rest; 24/min is mildly elevated and may reflect anxiety,TRUE,Start high‑flow oxygen,FALSE,Administer salbutamol prophylactically,FALSE
History and Examination,"A 41‑year‑old non-smoker has a solitary lateral tongue ulcer, slightly indurated, present 4 weeks despite smoothing a sharp cusp. Next step?","Unexplained lateral tongue ulcer persisting >3 weeks with induration is a red flag requiring urgent suspected cancer referral.",Reassure and review in 2 months,FALSE,Prescribe topical corticosteroid only,FALSE,Refer via urgent suspected cancer (2‑week) pathway,TRUE,Biopsy immediately yourself without referral pathway,FALSE,Start empirical antifungal therapy first,FALSE
History and Examination,"Which manoeuvre best increases detection of early floor of mouth pathology during routine exam?","Bimanual palpation detects submucosal or glandular lesions not apparent on inspection alone.",Rely on patient self-report,FALSE,Quick midline tongue protrusion only,FALSE,Bimanual palpation (intra-oral + submental),TRUE,Transillumination with curing light only,FALSE,Percussion with periodontal probe handle,FALSE
History and Examination,"Which scenario requires full periodontal charting (six-point pocket depths, recession, mobility)?","BPE code 4 (≥6 mm pocket) triggers comprehensive periodontal charting; lower codes guide preventive care only.",All sextants score 0,FALSE,Single sextant score 1,FALSE,Two sextants score 2,FALSE,One sextant scores 4,TRUE,All sextants score 0 in an edentulous patient,FALSE
History and Examination,"You want to motivate a poorly engaged patient about plaque control. Best documentation approach?","A validated index ensures reliability; converting to a positive metric (% clean) enhances patient understanding and motivation.",Invent an unvalidated “smile score”,FALSE,Use validated plaque index and present as percent clean surfaces over time,TRUE,Avoid scoring to prevent discouragement,FALSE,Record index but withhold results until discharge,FALSE,Rely solely on photographs without scoring,FALSE
History and Examination,"A 25‑year‑old has a painless single click in the right TMJ on wide opening; no locking or tenderness. Management?","Painless isolated click with normal function is common and benign; reassurance avoids unnecessary interventions.",Immediate MRI and arthroscopy,FALSE,Fabricate urgent hard splint,FALSE,Reassurance and monitoring only,TRUE,Bilateral corticosteroid injections,FALSE,Extraction of suspected causative molar,FALSE
History and Examination,"During IV sedation assessment a 52‑year‑old woman: BMI 35, loud snoring, witnessed apnoeas, neck circumference 44 cm, daytime sleepiness. Primary concern affecting sedation planning?","Features strongly suggest OSA, elevating peri‑sedation airway compromise risk; requires tailored planning or referral.",Elevated caries risk,FALSE,Possible obstructive sleep apnoea increasing airway obstruction risk,TRUE,Increased likelihood of antibiotic allergy,FALSE,Greater chance of galvanic currents,FALSE,Higher immediate MRONJ risk,FALSE
History and Examination,"Record lists “aspirin allergy – causes stomach upset.” Patient needs post‑extraction analgesia. Interpretation?","Dyspepsia is a predictable pharmacologic effect, not an immunologic allergy; clarifying widens safe analgesic options.",IgE-mediated allergy—avoid all NSAIDs absolutely,FALSE,Likely intolerance (GI side effect), not immune allergy,TRUE,Proven anaphylaxis—test dose required,FALSE,Type IV delayed hypersensitivity,FALSE,Pseudoallergy needing desensitisation,FALSE
History and Examination,"Which isolated finding during routine exam most strongly mandates urgent suspected cancer referral?","Persistent (>3 weeks), indurated lateral tongue ulcer is a classic red flag requiring urgent referral.",Recurrent minor aphthae healing in 7–10 days,FALSE,Painless bilateral parotid enlargement in known bulimia,FALSE,Lateral tongue ulcer 4 weeks with rolled indurated margin,TRUE,Homogeneous geographic tongue,FALSE,Linea alba on buccal mucosa,FALSE
History and Examination,"New patient BPE: UR 3, upper anterior 2, UL 2, LR 1, lower anterior 2, LL 3 (no furcations or implants). Best immediate next step?","Codes 3 (4–5 mm pockets) prompt targeted preventive and non-surgical measures first; comprehensive charting follows if disease severity escalates (code 4) or after initial therapy where indicated.",Full six-point charting entire mouth today,FALSE,Implant probing chart,FALSE,Tailored OHI and initial periodontal therapy; defer full charting unless higher codes emerge,TRUE,No preventive advice until code 4 appears,FALSE,Immediate periodontal surgery referral,FALSE
History and Examination,"A 60‑year‑old with well‑controlled hypertension attends an asymptomatic routine check‑up. What systemic exam extent is appropriate?","Proportionate assessment for an asymptomatic patient limits to observation and thorough extra-/intra‑oral dental exam; extended exams need indications.",Full abdominal palpation and auscultation,FALSE,Detailed cardiac auscultation and JVP assessment,FALSE,Focused general observation plus EO/IO dental exam only,TRUE,Full cranial nerve and deep tendon reflex testing,FALSE,Spirometry to assess sedation risk,FALSE
History and Examination,"A foundation dentist plans to check JVP on every new patient. Best advice?","JVP is an advanced skill used selectively where cardiovascular evaluation influences management, not routine screening.",Measure JVP routinely; it is a core dental vital sign,FALSE,Only measure JVP in edentulous patients,FALSE,Perform JVP assessment only when cardiovascular status may alter dental/sedation planning,TRUE,Replace blood pressure measurement with JVP assessment,FALSE,JVP assessment is obsolete in any setting,FALSE
History and Examination,"Pre‑sedation baseline: pulse 78, BP 132/80, SpO₂ 99%, respirations 22/min, patient anxious. Best action?","Mild anxiety‑related tachypnoea warrants reassurance and repeat, not cancellation or treatment.",Proceed; 22/min unequivocally normal,FALSE,Abort sedation; indicates failure,FALSE,Reassure, allow rest, repeat observations before proceeding,TRUE,Give high‑flow oxygen prophylactically,FALSE,Administer salbutamol routinely,FALSE
History and Examination,"Pre‑GA assessment reveals a firm tip palpable below left costal margin on inspiration in an asymptomatic adult. Next step?","Palpable spleen is abnormal; requires medical evaluation before elective GA.",Record as normal and proceed,FALSE,Attribute to bowel gas,FALSE,Refer to GP for evaluation before elective GA,TRUE,Schedule splenectomy,FALSE,Ignore if initial blood tests normal,FALSE
History and Examination,"Smooth liver edge just palpable at right costal margin on deep inspiration, no tenderness. Interpretation?","Non‑tender liver edge at costal margin may be normal variation.",Normal possible finding,TRUE,Urgent red flag,FALSE,Diagnostic of cirrhosis,FALSE,Indicates splenomegaly,FALSE,Acute cholecystitis,FALSE
History and Examination,"Lateral tongue ulcer persists 25 days post removal of local trauma. Management?","Unexplained ulcer >3 weeks at high‑risk site requires urgent referral.",Reassure; review at 6 months,FALSE,Chlorhexidine only,FALSE,Urgent suspected cancer referral,TRUE,Empirical fluconazole,FALSE,Delay biopsy 6 more weeks,FALSE
History and Examination,"BPE: 2,2,3,1,2,2. Immediate management?","Code 3 triggers localised assessment and initial non‑surgical therapy, not full‑mouth charting or surgery.",Full six‑point charting entire mouth,FALSE,Periodontal surgery referral,FALSE,Localised detailed assessment/initial therapy for code 3 sextant plus OHI,TRUE,No preventive advice until code 4,FALSE,Reclassify 3 as 2,FALSE
History and Examination,"Generalised erosive tooth surface loss—how to standardise monitoring?","BEWE provides validated, reproducible erosion scoring for monitoring and risk grading.",Subjective “mild/moderate” description,FALSE,Record BPE instead,FALSE,Apply and record BEWE baseline and at reviews,TRUE,Use DMFT only,FALSE,Photograph only,FALSE
History and Examination,"Using a validated plaque index, best motivational presentation?","Positive framing of validated data (% clean surfaces) aids patient motivation while maintaining validity.",Hide scores,FALSE,Show as percentage clean surfaces trend,TRUE,Invent new index each visit,FALSE,Only reveal if worse,FALSE,Disclose but don’t record,FALSE
History and Examination,"22‑year‑old with painless single TMJ click, opening 48 mm, no deviation/locking. Management?","Painless, non‑restrictive click is benign; reassurance suffices.",Immediate MRI,FALSE,Occlusal adjustment,FALSE,Reassurance and monitoring,TRUE,Intra‑articular steroid injection,FALSE,Mandibular surgery,FALSE
History and Examination,"Technique to improve early detection of sublingual lesions?","Bimanual palpation identifies submucosal/ductal pathologies undetectable by inspection alone.",Visual inspection only,FALSE,Tongue protrusion only,FALSE,Bimanual palpation (intra‑oral & submental),TRUE,Percussion of lingual plate,FALSE,Patient self‑report,FALSE
History and Examination,"45‑year‑old non‑smoker with 5‑week unilateral throat discomfort and referred otalgia; slight tonsillar asymmetry. Action?","Persistent unilateral symptoms with referred otalgia and tonsillar asymmetry warrant urgent specialist assessment for possible malignancy.",Routine 6‑month dental review,FALSE,Empirical antifungal lozenges,FALSE,Urgent head & neck referral,TRUE,Extract adjacent molar,FALSE,Broad‑spectrum antibiotics,FALSE
History and Examination,"High STOP‑Bang score (snoring, apnoeas, BMI >35, large neck, age >50) for planned long IV sedation. Best response?","High OSA risk necessitates optimisation or referral to facility with adequate airway management capability.",Ignore if baseline SpO₂ normal,FALSE,Proceed unmodified,FALSE,Consider medical evaluation / enhanced airway setting or referral,TRUE,Elective tracheostomy,FALSE,Switch to GA in unmonitored setting,FALSE
History and Examination,"Referral letter: “Extract 6” with no notation system specified. Action?","Ambiguous numbering risks wrong‑tooth extraction; confirm system (FDI, Palmer) prior to treatment.",Assume UR6,FALSE,Assume FDI 16,FALSE,Clarify notation with referrer before proceeding,TRUE,Extract any first molar patient points to,FALSE,Decline to treat any first molars,FALSE
History and Examination,"Which patient justifies adding focused cardiac auscultation pre‑procedure?","Known valvular pathology plus prolonged sedation may influence management; targeted auscultation appropriate.",Healthy 19‑year‑old for scale,FALSE,45‑year‑old mild asthma for small composite,FALSE,38‑year‑old anxious simple extraction,FALSE,67‑year‑old with valvular disease for prolonged IV sedation,TRUE,30‑year‑old requesting whitening,FALSE
History and Examination,"A 54‑year‑old scheduled for a lengthy surgical extraction has baseline observations: Temp 37.4 °C, Pulse 96 regular, BP 146/88, RR 21, SpO₂ 99% air. He feels well. Best immediate management?","Mild isolated elevations with no systemic symptoms suggest anxiety; proceed with observation and repeat, not cancellation or escalation.",Cancel procedure; sepsis likely,FALSE,Proceed but recheck observations after settling; mild elevations likely anxiety,TRUE,Give IV antibiotics prophylactically,FALSE,Start antipyretics and delay one week,FALSE,Send urgently to hospital for hypertensive crisis,FALSE
History and Examination,"A 62‑year‑old new patient has repeated BPs of 168/104 mmHg, asymptomatic, requiring elective crown prep. Appropriate action?","Persistent ≥160/100 merits medical assessment before non‑urgent elective care; not an emergency but deferral is prudent.",Proceed immediately—below 180/110,FALSE,Defer elective treatment; advise GP review for hypertension optimisation,TRUE,Start antihypertensive medication yourself,FALSE,Send to emergency department as hypertensive emergency,FALSE,Perform procedure but double vasoconstrictor dose,FALSE
History and Examination,"Pre‑sedation checks: RR 24, Pulse 80, BP 130/82, SpO₂ 99%. Patient comfortable but anxious. Next step?","Mild tachypnoea likely anxiety; repeat after calming to ensure stability.",Proceed without comment; RR 24 normal,FALSE,Provide reassurance, allow rest, repeat vitals before sedation,TRUE,Immediate emergency call,FALSE,Administer salbutamol,FALSE,Start high‑flow oxygen,FALSE
History and Examination,"Dipstick shows bilirubin positive, urobilinogen low/absent. Likely pattern?","Conjugated bilirubin in urine with low urobilinogen indicates obstructive/cholestatic process.",Haemolytic jaundice,FALSE,Obstructive (cholestatic) jaundice,TRUE,Normal finding,FALSE,Lab error—cannot have bilirubin without urobilinogen,FALSE,Isolated Gilbert syndrome,FALSE
History and Examination,"Which statement about urine urobilinogen is most accurate?","Haemolysis/hepatocellular dysfunction increase urobilinogen; obstruction prevents its formation/excretion into urine.",Always elevated in obstructive jaundice,FALSE,Always absent in haemolytic jaundice,FALSE,Elevated in haemolytic or hepatocellular jaundice; reduced/absent in obstructive,TRUE,Has no clinical relevance,FALSE,Present only with renal failure,FALSE
History and Examination,"Pre‑IV sedation labs: K⁺ 5.7 mmol/L; patient on ACE inhibitor and spironolactone, asymptomatic. Best course?","Mild hyperkalaemia likely drug‑related; defer elective sedation pending medical review to mitigate arrhythmia risk.",Proceed; within normal range,FALSE,Give suxamethonium to normalise potassium,FALSE,Postpone elective sedation and refer for medical optimisation,TRUE,Administer high‑dose NSAIDs for diuresis,FALSE,Ignore; only values >6.5 matter,FALSE
History and Examination,"Random capillary glucose chairside = 12.2 mmol/L in asymptomatic patient with history “borderline sugar.” Next step?","Elevated random glucose warrants formal diagnostic evaluation; dentist refers rather than diagnoses on single reading.",Diagnose diabetes definitively,FALSE,Dismiss—random glucose not useful,FALSE,Advise prompt GP assessment for confirmatory fasting/HbA1c testing,TRUE,Start metformin yourself,FALSE,Give glucose to test for hypoglycaemia,FALSE
History and Examination,"Why prefer eGFR over isolated creatinine when planning postoperative analgesic prescribing?","eGFR better reflects renal function for drug dosing decisions than raw creatinine alone.",eGFR unaffected by age,FALSE,Creatinine only elevated in liver disease,FALSE,eGFR adjusts for creatinine plus demographics to reflect renal clearance impacting dosing,TRUE,eGFR measures liver metabolism,FALSE,Creatinine varies only with hydration so always normal,FALSE
History and Examination,"Colleague insists every dental day‑case patient requires MRSA nasal/axillary swabs. Correct response?","Modern protocols employ targeted MRSA screening based on risk stratification and local guidelines.",Universal screening mandatory,FALSE,Only LA cases require screening,FALSE,Explain current practice is targeted per local policy/procedure risk,TRUE,Replace with blood cultures routinely,FALSE,Screen only denture wearers,FALSE
History and Examination,"Which statement about C. difficile diagnosis is correct?","Diagnostic pathways use stool testing algorithms; blood tests are not standard for toxin detection.",Blood toxin assay is first‑line,FALSE,Stool multi‑step algorithm (antigen/toxin/NAAT) is standard,TRUE,Saliva culture confirms diagnosis,FALSE,Urine antigen test is routine,FALSE,Dental radiographs detect pseudomembranes,FALSE
History and Examination,"Traumatised maxillary incisor (2 weeks post‑injury) gives no response to EPT or cold; open apex, asymptomatic. Interpretation?","Recent trauma can produce transient false negatives; vascular supply may persist—observe before invasive treatment.",Definitive necrosis—start RCT,FALSE,Likely transient loss of neural response—monitor and retest,TRUE,False positive—vital pulp certain,FALSE,Test cavity required now,FALSE,Extract prophylactically,FALSE
History and Examination,"Which situation most likely produces a false positive EPT response?","Remaining vital tissue in one canal can yield a response despite necrosis in other canals (partial necrosis).",Recently traumatised immature tooth,FALSE,Multi‑rooted tooth with partial necrosis (one canal vital),TRUE,Canal heavily calcified with secondary dentine,FALSE,Tooth with complete necrosis,FALSE,Tooth with open apex non‑responsive,FALSE
History and Examination,"Asymptomatic low‑caries‑risk adult requests a “panoramic to see everything.” Best response?","Radiation must be justified; panoramic not indicated solely by request in low‑risk scenario; bitewings based on caries risk.",Take DPT—patient request is justification,FALSE,Take DPT for baseline and repeat annually,FALSE,Decline DPT; consider bitewings only if caries risk assessment indicates,TRUE,Take DPT plus full periapicals to be thorough,FALSE,Take DPT instead of bitewings for proximal caries,FALSE
History and Examination,"First‑line imaging for suspected submandibular duct sialolithiasis causing meal‑time swelling?","Ultrasound is first‑line for suspected salivary gland obstruction; further imaging only if needed.",Panoramic radiograph only,FALSE,Ultrasound of submandibular region,TRUE,MRI TMJ,FALSE,Lateral skull film,FALSE,Cone beam CT mandible first line,FALSE
History and Examination,"34‑year‑old with chronic painful TMJ locking and limited opening (30 mm) unresponsive to conservative therapy. Appropriate imaging?","MRI is modality of choice for internal derangement after failed conservative management; panoramic lacks soft tissue detail.",None—persistence irrelevant,FALSE,Panoramic alone for disc evaluation,FALSE,MRI to assess internal derangement,TRUE,Lateral ceph for disc position,FALSE,Arthroscopy without imaging,FALSE
History and Examination,"You are replacing an old intra‑oral unit that still uses E‑speed film. Best receptor strategy?","Fastest suitable receptor (F‑speed or digital) plus rectangular collimation optimises dose without losing diagnostic yield.",Retain E‑speed film—no benefit switching,FALSE,Switch to D‑speed for sharper images,FALSE,Upgrade to F‑speed or digital sensors with rectangular collimation,TRUE,Use slow film to ensure exposure accuracy,FALSE,Use panoramic imaging instead of intra‑oral films for all caries exams,FALSE
History and Examination,"Practice is purchasing a new intra‑oral X‑ray set. Which specification most improves dose efficiency and image consistency?","Constant potential DC/high‑frequency units produce a stable beam with lower skin dose and improved contrast.",Single‑pulse self‑rectified AC 50 Hz unit,FALSE,Constant potential (high‑frequency) DC generator,TRUE,Hand‑held unshielded AC unit without backscatter shield,FALSE,Any unit—generator type has no effect on dose,FALSE,Low kVp (<50) to eliminate scatter entirely,FALSE
History and Examination,"A patient with a severe gag reflex cannot tolerate the standard holder for a maxillary molar periapical. Best approach?","Bisecting angle is an accepted secondary technique when paralleling is impractical; avoid unnecessary panoramic exposure or finger-in-beam.",Abandon image acquisition entirely,FALSE,Use bisecting angle technique as a justified exception,TRUE,Use patient’s finger to hold the film routinely,FALSE,Take a panoramic instead purely for that tooth’s apex detail,FALSE,Increase exposure to compensate for non‑standard geometry,FALSE
History and Examination,"Two periapicals are taken for a supernumerary canine; tube shifted mesially on the second film and the impacted tooth image moves mesially. Interpretation?","SLOB rule: Same movement = Lingual/Palatal; Opposite = Buccal.",Tooth is buccal (opposite movement),FALSE,Tooth is lingual/palatal (same direction),TRUE,Movement is random—repeat films,FALSE,Indicates internal resorption,FALSE,Indicates external resorption,FALSE
History and Examination,"A low caries‑risk asymptomatic adult new patient requests a “scan to check everything.” Optimal response?","IRMER requires clinical justification; panoramic not indicated solely by request; bitewings depend on caries risk.",Take DPT—patient request justifies exposure,FALSE,Decline DPT; no indication—use clinical exam and risk‑based bitewings if needed,TRUE,Take DPT plus full mouth periapicals to be thorough,FALSE,Take DPT instead of bitewings for proximal caries,FALSE,Take DPT annually for baseline monitoring,FALSE
History and Examination,"A colleague uses lead aprons and thyroid collars for every adult intra‑oral radiograph. Correct advice?","Routine aprons/collars generally unnecessary; optimisation achieved via selection criteria, collimation, receptor speed; collars can obstruct panoramic positioning.",Continue—mandatory for all exposures,FALSE,Remove both—modern optimisation (collimation, DC units) makes routine aprons unnecessary,TRUE,Replace with full body shield,FALSE,Use apron only if pregnant to block ovarian dose from intra‑oral beam,FALSE,Use thyroid collar for all panoramic radiographs,FALSE
History and Examination,"A 30‑year‑old has painless intermittent single clicks, full opening, no locking. She requests MRI “to be sure.” Best action?","Asymptomatic clicking without dysfunction does not justify imaging.",Order MRI,FALSE,Order arthrography,FALSE,Reassure and decline imaging,TRUE,Order CBCT for soft tissue disc evaluation,FALSE,Order PET‑CT,FALSE
History and Examination,"Which scenario most appropriately justifies a limited FOV CBCT?","CBCT is indicated when 2D imaging is insufficient for a specific high‑risk anatomical relationship (e.g. nerve proximity).",Routine annual review of stable implants,FALSE,Primary proximal caries detection in a teenager,FALSE,Complex mandibular 2nd molar impaction near IAC where 2D views inconclusive,TRUE,All new orthodontic patients,FALSE,Screening for periodontal disease in low‑risk adult,FALSE
History and Examination,"First‑line imaging for suspected submandibular duct sialolithiasis causing meal‑time swelling?","Ultrasound is first‑line for salivary obstruction; sialography now adjunct.",Conventional contrast sialography,FALSE,Ultrasound,TRUE,PET‑CT,FALSE,Arthrography,FALSE,Panoramic alone always sufficient,FALSE
History and Examination,"Trainee states PET “detects beta particles emitted directly from FDG.” Correct clarification?","PET detects coincident gamma photons produced by positron annihilation.",True—beta particles hit detectors,FALSE,False—detectors record paired 511 keV annihilation photons,TRUE,PET detects only alpha particles,FALSE,PET detects Compton electrons directly,FALSE,PET uses ultrasound, not ionising radiation,FALSE
History and Examination,"After switching to digital sensors, retake rate rises because “dose is low.” Why problematic?","Dose advantage of digital depends on minimising retakes—unnecessary repeats increase patient exposure.",Digital images lack legal status,FALSE,Retakes negate intended dose reduction and increase cumulative exposure,TRUE,Retakes improve contrast inherently,FALSE,Retakes are excluded from DRL audits,FALSE,Film processing errors justify higher retake rate,FALSE
History and Examination,"Essential element of a dental radiography QA programme?","QA requires systematic reject audits and benchmarking against diagnostic reference levels with documented reporting.",Eliminating all rejects entirely,FALSE,Recording exposures only when abnormal,FALSE,Regular reject analysis and comparison with DRLs,TRUE,Storing images without reports to save time,FALSE,Allowing personal, unreviewed exposure charts,FALSE
History and "Which endodontic scenario justifies CBCT?","CBCT is appropriate when complex anatomy affects retreatment decision after inconclusive 2D imaging.",Initial diagnosis of simple single‑canal incisor pulpitis,FALSE,Routine assessment after every root canal,FALSE,Suspected untreated MB2 canal in maxillary molar where 2D views inconclusive and retreatment planned,TRUE,Screening for caries pre‑orthodontics,FALSE,Annual recall of asymptomatic apicectomised tooth,FALSE
History and Examination,"Tube shifted distally; impacted mandibular premolar image moves mesially. Location?","Opposite movement relative to tube shift indicates buccal position (SLOB principle).",Buccal,TRUE,Lingual,FALSE,Palatal,FALSE,Within mandibular canal,FALSE,Indeterminate,FALSE
History and Examination,"Post‑chemoradiotherapy head & neck cancer patient shows equivocal soft tissue thickening clinically. Best imaging to assess metabolic activity?","PET‑CT evaluates metabolic activity to differentiate residual/recurrent malignancy from post‑treatment changes.",Routine bitewings,FALSE,Ultrasound with Doppler only,FALSE,PET‑CT,TRUE,Conventional sialography,FALSE,Cephalometric radiograph,FALSE
